MsgID.LOCAL_VELOCITY,1522203216.5468411,7.3767700,4.9623594,0.0351762
MsgID.GLOBAL_POSITION,1522203216.7722611,-122.3969429,37.7928067,3.9830000
MsgID.LOCAL_VELOCITY,1522203216.7722611,7.3600000,4.9600000,0.0400000
MsgID.LOCAL_POSITION,1522203216.7766531,36.2932930,45.3915100,-3.9833796
MsgID.LOCAL_VELOCITY,1522203216.7766531,7.3671660,4.9618244,0.0420220
MsgID.GLOBAL_POSITION,1522203217.0213995,-122.3969283,37.7928242,3.9890000
MsgID.LOCAL_VELOCITY,1522203217.0213995,7.3700000,4.9500000,0.0300000
MsgID.LOCAL_POSITION,1522203217.0260522,38.1978340,46.6626892,-3.9893990
MsgID.LOCAL_VELOCITY,1522203217.0260522,7.3705950,4.9525142,0.0323872
MsgID.GLOBAL_POSITION,1522203217.2723811,-122.3969154,37.7928430,3.9760000
MsgID.LOCAL_VELOCITY,1522203217.2723811,7.3600000,4.9400000,0.0300000
MsgID.LOCAL_POSITION,1522203217.2765689,40.2867851,47.8094749,-3.9765477
MsgID.LOCAL_VELOCITY,1522203217.2765689,7.3693452,4.9489803,0.0397247
MsgID.STATE,1522203217.5105746,True,True
MsgID.GLOBAL_HOME,1522203217.5142744,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203217.5544565,-122.3969019,37.7928566,3.9790000
MsgID.LOCAL_VELOCITY,1522203217.5544565,7.3700000,4.9700000,-0.0400000
MsgID.LOCAL_POSITION,1522203217.5549788,41.8590813,49.0578156,-3.9801478
MsgID.LOCAL_VELOCITY,1522203217.5549788,7.3765717,4.9756460,-0.0447225
MsgID.GLOBAL_POSITION,1522203217.7716737,-122.3968874,37.7928735,3.9960000
MsgID.LOCAL_VELOCITY,1522203217.7716737,7.3700000,4.9700000,-0.0700000
MsgID.LOCAL_POSITION,1522203217.7778704,43.7407646,50.3347816,-3.9972765
MsgID.LOCAL_VELOCITY,1522203217.7778704,7.3735142,4.9701843,-0.0741371
MsgID.GLOBAL_POSITION,1522203218.0220366,-122.3968740,37.7928912,3.9960000
